Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1999,1407,2483,425,-285,-311,0%,0%,1752,1839,"4,3",5139,-4299,-521,840,0,0%
2000,3087,5250,1240,-324,470,9%,15%,1029,1164,"0,9",1605,-324,509,1281,180,38%
2001,3363,6526,2003,-503,785,12%,23%,2476,2093,1,1332,-530,1285,802,337,43%
2002,4130,7325,2710,-747,1510,21%,37%,1132,3354,"1,2",2743,-552,-2912,2191,502,33%
2003,4308,8684,3072,93,1412,16%,33%,1196,4784,"1,6",2528,-862,-347,1666,998,71%
2004,16996,12006,4537,-746,1162,10%,7%,1291,6520,"1,4",3419,-1274,-3434,2145,1327,114%
2005,19867,15959,6305,-1087,1546,10%,8%,837,6366,1,4150,-1369,-2973,2781,1692,109%
2006,19268,17614,7445,-1078,2806,16%,15%,1539,8027,"1,1",5985,-1426,-1469,4559,1408,50%
2007,18120,19580,8696,-1253,5003,26%,28%,2308,7493,"0,9",7103,-1585,-4009,5518,1991,40%
2008,20788,20713,9007,-1092,5119,25%,25%,3299,7359,"0,8",6934,-1957,-3485,4977,3181,62%
2009,22017,23194,10361,-982,5986,26%,27%,4043,5764,"0,6",8697,-1439,-5929,7258,3306,55%
2010,24565,25233,11707,-319,7619,30%,31%,6979,-209,0,10062,-2286,-4862,7776,5007,66%
2011,25829,27126,13141,-468,8719,32%,34%,8270,-4168,0,12606,-3200,-8652,9406,5427,62%
2012,37269,32231,15570,-900,10421,32%,28%,9403,-6259,0,14263,-3014,-7809,11249,5619,54%
2013,44225,35079,17457,-1563,11399,32%,26%,11574,-8680,0,15245,-3801,-9385,11444,4151,36%
2014,43645,38080,18237,-1475,12362,32%,28%,10434,-7812,0,15896,-4493,-13144,11403,11980,97%
2015,50334,46720,21855,-2268,12879,28%,26%,13835,-10236,0,23581,-5261,-15328,18320,11241,87%
2016,46651,45603,20612,-3702,13083,29%,28%,8160,5396,0,12345,-4133,-11645,8212,10331,79%
2017,47983,47899,20036,-3494,7851,16%,16%,10366,2553,0,17874,-3204,-12864,14670,8820,112%
2018,57547,50231,21014,-3823,11377,23%,20%,11477,2423,0,17911,-3571,-13222,14340,8814,77%
2019,62556,52600,20728,-3110,12188,23%,19%,11915,3063,0,18381,-5069,-12283,13312,7871,65%
