Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
2007,560,1193,121,-50,46,4%,8%,395,135,1,-59,-169,406,-228,2,4%
2008,598,1607,196,-45,51,3%,9%,361,43,0,267,-118,-180,149,12,24%
2009,720,1755,278,-8,141,8%,20%,355,-106,0,216,-70,-138,146,37,26%
2010,823,2075,389,-20,208,10%,25%,541,36,0,241,-244,192,-3,77,37%
2011,858,2449,411,-63,177,7%,21%,641,344,1,160,-255,197,-95,144,81%
2012,1039,2877,498,-65,230,8%,22%,286,486,1,136,-184,-306,-48,60,26%
2013,1108,3097,370,-87,85,3%,8%,258,534,1,310,-266,-71,44,20,24%
2014,1156,3345,386,-138,51,2%,4%,511,636,"1,6",265,-194,208,71,12,24%
2015,1119,3165,270,-147,-36,0%,0%,552,546,2,434,-113,-280,321,0,0%
2016,1012,2853,181,-154,-88,0%,0%,419,822,"2,2",330,-107,-353,222,0,0%
2017,960,2876,266,-120,-60,0%,0%,458,1004,"2,1",-10,-56,104,-66,0,0%
2018,974,2764,418,273,28,1%,3%,397,1016,"1,5",83,-47,-97,36,0,0%
2019,1420,2882,185,-147,-112,0%,0%,725,1520,"4,3",215,-60,173,155,0,0%
