Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
2008,85,367,41,-10,22,6%,26%,53,7,"0,2",-9,-8,23,-17,11,50%
2009,119,412,61,0,49,12%,41%,45,-6,0,40,-11,-38,29,23,47%
2010,146,571,96,-4,65,11%,45%,13,33,"0,3",20,-14,-39,6,32,49%
2011,384,679,118,12,92,14%,24%,173,-135,0,43,-30,133,13,24,26%
2012,454,860,136,5,97,11%,21%,202,-108,0,48,-57,-23,-9,49,51%
2013,515,963,159,8,111,12%,22%,185,-87,0,65,-44,-58,21,56,50%
2014,576,1053,161,13,113,11%,20%,200,-101,0,110,-51,-65,59,71,63%
2015,618,1121,165,23,120,11%,19%,226,-103,0,91,-26,-62,65,62,52%
2016,670,1239,177,6,116,9%,17%,243,106,0,100,-25,-82,75,74,64%
2017,665,1360,206,9,154,11%,23%,338,182,0,172,-22,-75,150,166,108%
2018,711,1527,232,-21,143,9%,20%,236,111,0,118,-49,-193,69,116,81%
2019,746,1679,303,-18,162,10%,22%,278,181,0,205,-66,-114,139,144,89%
