Ano,Patrimônio Liquido,Receita Inter. Fin.,Lucro Liq.,Mrg. Liq.,ROE,ind. de Basiléia,PDD,PDD/Lucro Liq.,Proventos,Payout
1995,4842,8621,540,6%,11%,%,1433,265%,0,0%
1996,5460,8060,824,10%,15%,%,1099,133%,0,0%
1997,5573,7613,831,11%,15%,%,826,99%,594,71%
1998,6321,8268,1012,12%,16%,%,1357,134%,688,68%
1999,6769,11189,1105,10%,16%,%,1580,143%,856,77%
2000,8092,8966,1740,19%,22%,%,1343,77%,779,45%
2001,9768,21412,2170,10%,22%,14%,2010,93%,849,39%
2002,10846,31913,2023,6%,19%,18%,2819,139%,947,47%
2003,13547,27530,2306,8%,17%,17%,2450,106%,1347,58%
2004,15215,26203,3060,12%,20%,16%,2042,67%,1325,43%
2005,19409,33701,5514,16%,28%,15%,2507,45%,1881,34%
2006,24636,38222,5054,13%,21%,15%,4412,87%,2160,43%
2007,30357,42823,8010,19%,26%,15%,5497,69%,2823,35%
2008,34257,57611,7620,13%,22%,16%,7884,103%,2692,35%
2009,44647,61906,8301,13%,19%,17%,10810,130%,2718,33%
2010,51159,66739,10052,15%,20%,15%,5756,57%,3369,34%
2011,59382,84535,11089,13%,19%,15%,8239,74%,3740,34%
2012,71346,85950,11352,13%,16%,16%,11451,101%,3895,34%
2013,72103,77698,12486,16%,17%,16%,9624,77%,4078,33%
2014,82291,99723,15416,15%,19%,16%,10291,67%,5055,33%
2015,90915,114601,18238,16%,20%,16%,14721,81%,6035,33%
2016,100442,137790,15084,11%,15%,15%,17930,119%,5561,37%
2017,110457,117792,14658,12%,13%,17%,19690,134%,6398,44%
2018,121121,92186,19085,21%,16%,18%,13733,72%,6483,34%
2019,133723,98990,22583,23%,17%,17%,14059,62%,17751,79%
