Ano,Patrimônio Liquido,Receita Inter. Fin.,Lucro Liq.,Mrg. Liq.,ROE,ind. de Basiléia,PDD,PDD/Lucro Liq.,Proventos,Payout
1995,425,1364,43,3%,10%,%,96,223%,11,26%
1996,631,1232,225,18%,36%,%,64,28%,14,6%
1997,695,1278,90,7%,13%,%,26,29%,23,26%
1998,406,780,80,10%,20%,%,31,39%,22,28%
1999,449,655,66,10%,15%,%,39,59%,23,35%
2000,472,492,38,8%,8%,%,0,0%,12,32%
2001,492,645,48,7%,10%,%,10,21%,16,33%
2002,532,1094,62,6%,12%,%,13,21%,19,31%
2003,584,640,69,11%,12%,%,8,12%,19,28%
2004,634,846,67,8%,11%,%,0,0%,19,28%
2005,692,1099,78,7%,11%,%,10,13%,22,28%
2006,755,1199,87,7%,12%,%,3,3%,24,28%
2007,853,1120,134,12%,16%,%,19,14%,37,28%
2008,926,1500,100,7%,11%,%,25,25%,28,28%
2009,981,1119,77,7%,8%,%,13,17%,21,27%
2010,1042,850,82,10%,8%,%,12,15%,23,28%
2011,1092,1074,67,6%,6%,19%,0,0%,19,28%
2012,1159,1051,97,9%,8%,16%,11,11%,18,19%
2013,1202,1118,91,8%,8%,19%,0,0%,18,20%
2014,1248,1361,66,5%,5%,20%,4,6%,19,29%
2015,1306,1617,85,5%,7%,23%,0,0%,23,27%
2016,1398,1556,92,6%,7%,25%,0,0%,22,24%
2017,1422,1156,50,4%,3%,20%,0,0%,22,44%
2018,1457,895,53,6%,4%,20%,0,0%,17,32%
2019,1504,986,69,7%,5%,0%,0,0%,15,22%
