Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,83,80,11,-1,1,1%,1%,0,26,2,20,-14,2,6,0,0%
1996,94,103,13,-5,1,1%,1%,1,34,3,14,-14,-6,0,0,0%
1997,83,90,4,-6,-10,0%,0%,0,42,11,15,-8,0,7,0,0%
1998,81,101,11,-8,-2,0%,0%,6,44,4,20,-14,6,6,0,0%
1999,81,132,22,-19,1,1%,1%,2,43,2,22,-8,2,14,0,0%
2000,87,145,25,-9,8,6%,9%,6,49,2,33,-21,-5,12,2,25%
2001,94,135,6,-9,-5,0%,0%,3,61,10,15,-13,-19,2,0,0%
2002,80,152,14,-20,-14,0%,0%,5,65,"4,6",17,-2,-4,15,0,0%
2003,46,184,6,-19,-34,0%,0%,4,62,"10,3",10,-4,-9,6,0,0%
2004,102,224,44,-12,20,9%,20%,3,51,"1,2",99,-11,71,88,0,0%
2005,135,222,58,-2,38,17%,28%,3,46,"0,8",53,-16,19,37,9,24%
2006,140,237,25,-10,6,3%,4%,3,44,"1,8",43,-13,13,30,0,0%
2007,145,246,28,-12,6,2%,4%,4,48,"1,7",17,-7,-9,10,1,17%
2008,170,280,46,0,33,12%,19%,5,41,"0,9",25,-5,-20,20,8,24%
2009,185,265,38,-8,19,7%,10%,3,40,"1,1",-1,-3,2,-4,4,21%
2010,202,316,45,-6,23,7%,11%,4,47,1,22,-24,2,-2,5,22%
2011,221,370,45,-6,24,6%,11%,6,61,"1,4",6,-17,12,-11,5,21%
2012,245,372,63,-7,32,9%,13%,1,30,"0,5",32,-12,-43,20,8,25%
2013,272,385,61,-2,35,9%,13%,13,84,"1,4",-10,-47,57,-57,8,23%
2014,272,406,25,-10,1,0%,0%,8,117,"4,7",-28,-34,25,-62,2,200%
2015,251,340,-5,-18,-21,0%,0%,8,127,0,-7,-7,14,-14,0,0%
2016,247,377,16,-10,-3,0%,0%,12,151,"8,4",19,-4,24,14,0,0%
2017,263,419,48,-15,20,5%,8%,15,193,"3,7",30,-6,38,24,0,0%
2018,278,437,132,-18,72,16%,26%,5,287,"2,1",-111,-8,78,-119,12,17%
2019,288,462,47,-25,11,2%,4%,11,218,"4,4",59,-4,-74,55,4,41%
