Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,68428,7306,1717,-1057,750,10%,1%,251,16480,10,6055,-1393,1918,4662,239,32%
1996,59645,7664,4149,-1143,2393,31%,4%,779,15461,4,7500,-1616,517,5884,595,25%
1997,61647,7414,3546,-860,3378,46%,5%,2722,15730,4,12602,-1759,-23,10843,1486,44%
1998,59996,8657,5057,-680,1994,23%,3%,1180,10423,2,9248,-2912,-2371,6336,748,38%
1999,59437,10615,4814,-1167,581,5%,1%,1750,13116,3,8659,-2891,-88,5768,598,103%
2000,62136,12805,6119,-1639,2456,19%,4%,2945,19421,3,9880,-2289,1171,7591,788,32%
2001,64285,16494,8830,-847,3251,20%,5%,2606,22586,3,8866,-2706,-1096,6160,1448,45%
2002,66550,18412,4742,2234,1100,6%,2%,1977,34638,"7,3",9858,-3592,1979,6266,425,39%
2003,67837,19496,8432,-5650,323,2%,0%,3166,30186,"3,6",12929,-3124,811,9805,323,100%
2004,69873,19912,8029,-3377,1293,6%,2%,3067,28809,"3,6",8219,-1857,998,6362,361,28%
2005,75714,18388,7230,-3488,974,5%,1%,4054,23309,"3,2",11323,-3254,1989,8069,442,45%
2006,77835,20800,7821,-3872,1161,6%,1%,5600,20524,"2,6",6683,-3154,-2511,3529,459,40%
2007,79963,23981,5662,-1209,1548,6%,2%,8387,13063,"2,3",6302,-3522,-1135,2780,703,45%
2008,85618,30066,8504,3384,6136,20%,7%,13701,16135,"1,9",4013,-4123,272,-110,1715,28%
2009,69379,25831,5675,-3638,1250,5%,2%,17622,13633,"2,4",9540,-4942,-1481,4598,742,59%
2010,70530,29814,6003,-364,2552,9%,4%,18052,17612,"2,9",8245,-6615,94,1630,1124,44%
2011,77202,33927,6028,234,3762,11%,5%,19246,26104,"4,3",4287,-8158,2357,-3871,1067,28%
2012,68069,28014,-7412,1684,-6926,0%,0%,122364,-94210,0,13350,-3859,-3101,9491,868,0%
2013,61577,23836,-3691,377,-6192,0%,0%,10572,23517,0,9329,-2298,-78,7031,868,0%
2014,56848,30138,-179,695,-2963,0%,0%,6880,34745,0,5192,-2919,3254,2273,28,0%
2015,41739,32589,-10703,-1699,-14954,0%,0%,8884,39329,0,6863,-4524,2136,2339,0,0%
2016,44065,60316,17519,-3931,3513,6%,8%,7859,46991,"2,2",-155,-1677,3004,-1831,6,0%
2017,42611,29441,7743,-1736,-1726,0%,0%,9046,46670,"4,9",694,-1243,-1941,-548,381,0%
2018,56009,24976,19990,-578,13348,53%,24%,8552,55817,"2,4",2410,-1261,-3068,1149,64,0%
2019,71394,27726,10257,-2081,10744,39%,15%,13989,49107,"3,4",-86,-2020,-3391,-2107,1183,11%
