Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div. Bru./PL,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,136,291,73,-207,-221,0%,0%,4,183,138%,306,-67,50,239,0,0%
1996,147,383,129,-177,-123,0%,0%,8,300,210%,387,-102,18,285,0,0%
1997,355,824,153,-145,-33,0%,0%,104,279,108%,483,-83,26,400,0,0%
1998,442,1570,347,-80,132,8%,30%,314,502,185%,487,-87,75,400,55,42%
1999,742,3347,752,-235,412,12%,56%,548,590,153%,1217,-136,514,1081,133,32%
2000,1606,5099,1176,-208,645,13%,40%,2326,-1432,56%,1833,-301,917,1532,288,45%
2001,2541,6891,2097,-479,1101,16%,43%,1739,53,71%,2442,-551,599,1891,404,37%
2002,3435,7748,2359,-876,1179,15%,34%,2321,-369,57%,2938,-620,1010,2318,327,28%
2003,3898,6571,1404,-554,588,9%,15%,3659,-643,77%,2324,-968,249,1356,195,33%
2004,4607,10231,1936,-664,1280,13%,28%,3614,-61,77%,6717,-526,1147,6191,585,46%
2005,4909,9133,1072,-333,708,8%,14%,4478,-819,75%,6527,-582,656,5945,444,63%
2006,5183,8265,952,-102,621,8%,12%,3774,-878,56%,3190,-920,-1039,2270,327,53%
2007,4638,9993,1322,250,1185,12%,26%,4411,-1287,67%,346,-935,279,-589,449,38%
2008,5971,11746,1500,-229,428,4%,7%,5122,-822,72%,2555,-962,-298,1593,224,52%
2009,5019,10871,1219,-120,937,9%,19%,4432,-849,71%,-566,-824,-136,-1390,229,24%
2010,5217,9380,1069,30,600,6%,12%,3543,-1152,46%,1465,-573,-1411,892,201,34%
2011,5848,9838,923,-140,171,2%,3%,3942,-832,53%,859,-923,68,-64,181,106%
2012,6846,12180,1763,5,699,6%,10%,4854,-631,62%,1447,-1145,779,302,183,26%
2013,8509,13636,2239,-254,786,6%,9%,6146,-1006,60%,1355,-1657,336,-302,202,26%
2014,10265,14936,1981,-103,827,6%,8%,6437,224,65%,1275,-1657,789,-382,214,26%
2015,15009,20302,2176,-1,282,1%,2%,10887,2898,92%,3633,-2594,3887,1039,102,36%
2016,44065,60316,17519,-3931,3513,6%,8%,7859,46991,"2,2",-155,-1677,3004,-1831,6,0%
2017,42611,29441,7743,-1736,-1726,0%,0%,9046,46670,"4,9",694,-1243,-1941,-548,381,0%
2018,56009,24976,19990,-578,13348,53%,24%,8552,55817,"2,4",2410,-1261,-3068,1149,64,0%
2019,71394,27726,10257,-2081,10744,39%,15%,13989,49107,"3,4",-86,-2020,-3391,-2107,1183,11%
