Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,31,96,-29,-22,-69,0%,0%,13,13,0,21,-1,-21,20,0,0%
1996,5,64,-3,-20,-25,0%,0%,3,17,0,35,0,17,35,0,0%
1997,5,65,0,4,1,2%,20%,3,13,0,26,-2,-3,24,0,0%
1998,8,80,-3,-9,2,3%,25%,6,12,0,50,-1,17,49,0,0%
1999,10,99,-1,-23,2,2%,20%,4,26,0,44,-1,2,43,0,0%
2000,11,109,19,-14,1,1%,9%,2,43,2,17,-5,-5,12,0,0%
2001,13,138,22,-17,2,1%,15%,2,38,2,32,-2,15,30,0,0%
2002,18,188,19,-12,5,3%,28%,1,36,"1,9",37,-3,-37,34,0,0%
2003,14,90,11,-12,-4,0%,0%,2,34,"3,1",18,-4,-6,14,0,0%
2004,-15,60,-8,-16,-30,0%,0%,11,35,0,12,-1,-29,11,0,0%
2005,-52,39,-22,-12,-37,0%,0%,1,12,0,28,0,-32,28,0,0%
2006,-51,55,16,-13,1,2%,0%,1,10,"0,6",29,0,3,29,0,0%
2007,-68,74,4,-19,-17,0%,0%,0,21,"5,3",2,-1,-3,1,0,0%
2008,-93,79,1,-25,-25,0%,0%,1,40,40,-16,-1,15,-17,0,0%
2009,-119,81,-26,-26,-53,0%,0%,3,51,0,-10,0,12,-10,0,0%
2010,-143,86,-20,-22,-49,0%,0%,5,45,0,8,-3,-4,5,0,0%
2011,-192,106,-3,-40,-49,0%,0%,9,42,0,5,-1,0,4,0,0%
2012,-213,121,1,-25,-24,0%,0%,12,36,36,6,-1,-3,5,0,0%
2013,-260,131,3,-33,-36,0%,0%,1,62,"20,7",-8,-5,16,-13,0,0%
2014,-285,211,14,-34,-25,0%,0%,0,72,"5,1",-11,-1,8,-12,0,0%
2015,-330,169,-5,-34,-45,0%,0%,2,69,0,3,-1,-1,2,0,0%
2016,-392,141,-8,-52,-62,0%,0%,2,62,0,12,-1,-9,10,0,0%
2017,-436,143,-5,-38,-44,0%,0%,3,56,0,6,-1,-5,6,0,0%
2018,-438,135,21,-46,-29,0%,0%,0,59,"2,7",-28,-4,2,-32,0,0%
2019,-479,112,-3,-34,-41,0%,0%,2,51,0,12,-3,-7,9,0,0%
