Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,218,42,12,32,33,79%,15%,81,-81,0,64,-5,48,59,0,0%
1996,263,221,54,30,52,24%,20%,139,-135,0,110,-74,20,36,0,0%
1997,297,214,71,32,55,26%,19%,91,-89,0,85,-25,-58,60,0,0%
1998,320,247,85,-5,70,28%,22%,118,-118,0,141,-18,39,123,0,0%
1999,280,255,88,20,99,39%,35%,149,-149,0,125,-19,-42,106,0,0%
2000,263,259,78,-11,52,20%,20%,95,-95,0,108,-12,23,96,0,0%
2001,236,244,58,-6,38,16%,16%,76,-76,0,106,-18,14,88,2,5%
2002,237,308,78,-3,53,17%,22%,79,-79,0,84,-21,1,63,37,70%
2003,240,303,49,-16,28,9%,12%,14,-11,0,55,-20,-14,35,33,118%
2004,242,352,81,-4,33,9%,14%,43,-36,0,100,-26,37,74,30,91%
2005,229,349,78,-12,34,10%,15%,59,-52,0,70,-17,-5,53,45,132%
2006,230,354,69,-17,38,11%,17%,73,-65,0,51,-13,-23,38,29,76%
2007,232,401,73,-3,43,11%,19%,70,-62,0,64,-32,-38,32,40,93%
2008,265,544,133,2,81,15%,31%,31,7,"0,1",93,-66,-69,27,65,80%
2009,391,583,124,-1,73,13%,19%,81,-50,0,97,-29,44,68,55,75%
2010,412,758,142,10,102,13%,25%,80,-57,0,100,-59,-79,41,72,71%
2011,438,820,140,14,97,12%,22%,69,-21,0,89,-46,-58,43,81,84%
2012,480,906,185,2,113,12%,24%,94,-14,0,126,-56,-37,70,72,64%
2013,506,957,178,-1,102,11%,20%,49,33,"0,2",109,-64,-67,45,72,71%
2014,515,978,166,2,85,9%,17%,48,79,"0,5",132,-104,-24,28,72,85%
2015,500,975,131,-24,29,3%,6%,22,145,"1,1",58,-38,-18,20,25,86%
2016,460,827,31,-20,-38,0%,0%,8,124,"3,7",54,-16,-34,38,0,0%
2017,171,666,-193,-16,-276,0%,0%,29,97,0,64,-10,-35,54,0,0%
2018,12,537,-92,-27,-149,0%,0%,9,131,0,5,-7,-2,-2,0,0%
2019,4,489,56,7,-13,0%,0%,9,114,"1,9",7,-9,1,-2,0,0%
