Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
2004,112,47,19,2,18,38%,16%,3,-2,0,-25,-20,24,-45,3,17%
2005,147,82,32,5,33,40%,22%,6,-6,0,-5,-454,8,-459,2,6%
2006,170,14,5,2,6,43%,4%,11,-11,0,-2,0,13,-2,2,33%
2007,750,186,29,23,45,24%,6%,409,-408,0,-139,-1,543,-140,11,24%
2008,790,334,75,42,102,31%,13%,190,-176,0,-213,-2,-3,-215,18,18%
2009,924,505,160,20,162,32%,18%,128,-62,0,-94,-1,33,-95,39,24%
2010,1116,636,228,41,245,39%,22%,192,-136,0,113,-6,-45,107,57,23%
2011,1417,744,292,65,331,44%,23%,302,-241,0,109,-2,-6,107,78,24%
2012,1663,632,310,42,339,54%,20%,151,-47,0,-91,-5,-26,-96,80,24%
2013,2110,1139,573,47,589,52%,28%,199,93,"0,2",24,-4,110,20,139,24%
2014,2417,951,440,61,474,50%,20%,234,273,"0,6",5,-3,63,2,163,34%
2015,2706,814,395,82,444,55%,16%,393,-165,0,74,-1,71,73,155,35%
2016,2844,572,175,81,232,41%,8%,564,353,0,118,0,4,118,155,67%
2017,2564,980,321,67,361,37%,14%,562,236,0,735,-3,-732,732,621,172%
2018,2637,391,6,109,102,26%,4%,494,91,0,140,0,-219,140,85,83%
2019,3810,804,224,93,290,36%,8%,1307,42,0,84,-4,848,80,23,8%
