Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,136,97,18,0,11,11%,8%,1,5,"0,3",40,-14,20,26,0,0%
1996,143,83,13,1,6,7%,4%,6,10,"0,8",21,-8,3,13,0,0%
1997,146,85,14,0,3,4%,2%,3,8,"0,6",16,-11,3,5,0,0%
1998,146,83,13,-1,-1,0%,0%,1,7,"0,5",13,-11,-1,2,0,0%
1999,152,148,46,0,14,9%,9%,27,-14,0,41,-10,25,31,0,0%
2000,170,152,47,4,18,12%,11%,23,-21,0,43,-17,22,26,0,0%
2001,215,176,73,2,37,21%,17%,50,-47,0,76,-14,36,62,0,0%
2002,261,239,77,10,42,18%,16%,77,-66,0,89,-17,57,72,0,0%
2003,347,363,134,15,79,22%,23%,117,-116,0,132,-37,66,95,0,0%
2004,451,478,0,13,97,20%,22%,116,-116,0,160,-112,48,48,0,0%
2005,496,427,0,17,44,10%,9%,127,-123,0,91,-98,-8,-7,0,0%
2006,527,398,52,15,31,8%,6%,125,-125,0,61,-29,-16,32,9,29%
2007,575,446,79,22,57,13%,10%,197,-197,0,119,-39,-9,80,19,33%
2008,911,879,390,37,337,38%,37%,360,-356,0,305,-93,-50,212,70,21%
2009,924,451,29,40,29,6%,3%,406,-364,0,93,-43,17,50,10,34%
2010,1030,673,159,36,134,20%,13%,382,-382,0,81,-67,-56,14,30,22%
2011,1097,642,104,47,91,14%,8%,344,-330,0,94,-127,-17,-33,23,25%
2012,1163,707,127,28,86,12%,7%,258,-258,0,69,-124,-37,-55,21,24%
2013,1218,800,132,17,74,9%,6%,232,-224,0,87,-101,-12,-14,17,23%
2014,1278,828,133,29,92,11%,7%,248,-235,0,166,-105,-38,61,21,23%
2015,1336,936,270,-24,174,19%,13%,83,-65,0,13,-111,-65,-98,75,43%
2016,1357,1096,63,37,70,6%,5%,277,39,0,301,-105,-9,196,3,5%
2017,1523,1109,311,63,270,24%,18%,514,66,0,392,-91,-118,302,145,53%
2018,1749,1381,464,-26,309,22%,18%,292,397,"0,2",306,-91,-130,215,109,35%
2019,1838,1280,287,76,222,17%,12%,174,494,"1,1",172,-116,-38,56,114,52%
