Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,105,82,1,1,1,1%,1%,13,-5,0,21,-11,10,10,0,0%
1996,102,78,-1,3,0,0%,0%,25,-16,0,14,-8,6,6,0,0%
1997,106,91,7,2,7,8%,7%,11,2,"0,3",20,-18,2,2,2,29%
1998,114,109,13,-1,13,12%,11%,4,6,"0,5",25,-14,11,11,5,38%
1999,130,134,25,-6,15,11%,12%,2,6,"0,2",23,-13,10,10,5,33%
2000,145,161,27,-4,19,12%,13%,4,9,"0,3",30,-12,18,18,4,21%
2001,162,208,38,-6,28,13%,17%,69,-39,0,59,-43,16,16,6,21%
2002,177,244,44,-9,28,11%,16%,87,-48,0,43,-34,8,9,13,46%
2003,206,259,36,-1,35,14%,17%,56,-18,0,45,-28,18,17,7,20%
2004,223,250,37,-2,23,9%,10%,28,11,"0,3",37,-18,-7,19,7,30%
2005,238,333,41,-2,18,5%,8%,41,29,"0,7",74,-23,11,51,0,0%
2006,260,408,57,-4,30,7%,12%,60,39,"0,7",51,-32,18,19,15,50%
2007,290,429,89,-12,43,10%,15%,54,78,"0,9",-2,-30,41,-32,14,33%
2008,328,599,128,-32,55,9%,17%,74,89,"0,7",52,-60,53,-8,19,35%
2009,365,657,132,-21,52,8%,14%,177,36,"0,3",122,-48,41,74,15,29%
2010,460,671,132,-2,70,10%,15%,189,135,1,60,-54,-30,6,22,31%
2011,325,618,129,-48,37,6%,11%,162,295,"2,3",45,-47,-23,-2,17,46%
2012,202,701,-14,-45,-117,0%,0%,181,491,0,67,-62,52,5,13,0%
2013,146,807,51,-74,-80,0%,0%,281,438,"8,6",191,-28,-63,163,3,0%
2014,52,592,-60,-92,-185,0%,0%,138,477,0,52,-16,-176,36,0,0%
2015,-60,824,-26,-219,-254,0%,0%,82,458,0,79,-46,-98,33,0,0%
2016,-445,830,-64,-3,-103,0%,0%,29,639,0,36,-49,-58,-13,0,0%
2017,-219,695,-127,-110,-286,0%,0%,9,684,0,35,-21,-33,14,0,0%
2018,-407,845,80,-184,-60,0%,0%,30,787,"9,8",32,-17,7,15,0,0%
