Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
2001,338,577,157,-23,95,16%,28%,84,17,"0,1",164,-117,47,47,81,85%
2002,437,755,212,-47,117,15%,27%,212,-2,0,140,-68,72,72,19,16%
2003,692,1061,354,-43,203,19%,29%,246,-115,0,364,-80,284,284,17,8%
2004,740,1211,320,-64,67,6%,9%,332,-183,0,222,-161,61,61,69,103%
2005,853,1068,267,0,85,8%,10%,510,-332,0,246,-126,120,120,81,95%
2006,979,1102,317,22,134,12%,14%,658,-379,0,182,-12,-23,170,128,96%
2007,1180,1198,208,100,261,22%,22%,703,-520,0,292,-20,-228,272,120,46%
2008,1317,1249,187,84,239,19%,18%,799,-575,0,197,-24,-76,173,109,46%
2009,1464,1455,178,136,272,19%,19%,794,-653,0,163,-35,-225,128,76,28%
2010,1676,1604,236,122,312,19%,19%,715,-534,0,247,-33,-67,214,122,39%
2011,1801,1482,216,153,305,21%,17%,746,-635,0,68,-39,-269,29,219,72%
2012,1954,1882,395,132,430,23%,22%,479,-341,0,193,-63,-262,130,189,44%
2013,2068,2187,436,104,434,20%,21%,432,-315,0,303,-154,-368,149,300,69%
2014,2328,2233,436,136,486,22%,21%,660,-489,0,474,-119,-190,355,221,45%
2015,2617,2203,455,182,539,24%,21%,618,-405,0,443,-73,-249,370,276,51%
2016,2922,2045,457,269,634,31%,22%,1309,125,0,566,-71,-392,495,314,49%
2017,3218,2252,526,239,661,29%,21%,1568,124,0,526,-107,-391,418,377,57%
2018,3465,2333,523,159,586,25%,17%,1565,153,0,484,-72,-350,412,321,55%
2019,3682,2071,431,178,495,24%,13%,1332,175,0,427,-52,-367,374,289,58%
