Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,101,220,30,-46,-14,0%,0%,1,73,2,31,-10,-100,21,0,0%
1996,167,291,47,-32,3,1%,2%,2,12,0,190,-13,90,177,0,0%
1997,169,302,44,-23,4,1%,2%,14,58,1,211,-22,55,189,0,0%
1998,170,298,28,-16,1,0%,1%,37,76,3,100,-22,-16,78,0,0%
1999,129,309,31,-133,-158,0%,0%,39,157,5,77,-22,5,55,0,0%
2000,129,350,50,-41,1,0%,1%,41,219,4,82,-39,19,43,0,0%
2001,88,338,37,-70,-58,0%,0%,144,300,8,254,-31,65,223,0,0%
2002,7,312,57,-180,-126,0%,0%,25,566,"9,9",52,-4,-104,48,0,0%
2003,18,297,42,-21,11,4%,61%,19,459,"10,9",25,-5,20,20,0,0%
2004,1,334,34,-40,-17,0%,0%,8,345,"10,1",12,-5,7,7,0,0%
2005,32,320,44,43,31,10%,97%,9,206,"4,7",-2,-5,-19,-7,0,0%
2006,32,329,49,-23,7,2%,22%,5,187,"3,8",16,-8,-12,8,0,0%
2007,274,369,51,-17,18,5%,7%,139,-15,0,20,-25,139,-5,5,28%
2008,242,514,105,-41,37,7%,15%,102,42,"0,4",6,-35,-45,-29,23,62%
2009,369,720,155,51,137,19%,37%,102,-24,0,93,-31,-30,62,35,26%
2010,528,1013,276,10,212,21%,40%,114,-61,0,158,-71,-70,87,82,39%
2011,710,1353,394,30,297,22%,42%,200,-165,0,267,-47,-135,220,172,58%
2012,784,1491,407,37,311,21%,40%,193,-168,0,310,-63,-253,247,262,84%
2013,907,1680,439,29,318,19%,35%,141,-117,0,225,-73,-205,152,139,44%
2014,1076,1678,396,34,319,19%,30%,182,-159,0,298,-97,-160,201,146,46%
2015,1174,1589,263,39,281,18%,24%,108,-107,0,233,-97,-210,136,132,47%
2016,1209,1475,208,47,199,14%,16%,205,28,0,288,-51,-140,236,164,82%
2017,1233,1562,261,79,264,17%,21%,149,27,0,251,-59,-248,192,260,99%
2018,1320,1540,260,37,240,16%,18%,321,0,0,363,-50,-142,313,110,46%
2019,1426,1549,265,33,215,14%,15%,365,65,0,286,-65,-177,221,171,80%
