Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
2002,-162,0,0,0,-25,0%,0%,1,-1,0,0,0,0,0,0,0%
2003,-196,0,0,0,-33,0%,0%,4,-4,0,0,0,0,0,0,0%
2004,-242,0,0,0,-46,0%,0%,3,-3,0,0,0,0,0,0,0%
2005,-283,0,0,0,-42,0%,0%,4,-4,0,0,0,0,0,0,0%
2006,-327,0,15,0,-43,0%,0%,2,-2,0,7,-3,-6,4,0,0%
2007,437,88,29,10,-16,0%,0%,325,-308,0,-340,-23,-24,-363,0,0%
2008,445,280,51,14,31,11%,7%,124,-107,0,240,-122,-30,118,1,3%
2009,793,341,-5,19,-8,0%,0%,410,-395,0,11,-65,352,-54,0,0%
2010,816,600,3,4,-30,0%,0%,26,65,"21,7",-48,-35,-76,-83,0,0%
2011,1475,734,82,5,37,5%,3%,151,414,5,-3,-47,820,-50,0,0%
2012,2246,1406,329,-34,202,14%,9%,226,329,1,314,-121,581,193,60,30%
2013,2619,2016,667,-25,517,26%,20%,419,130,"0,2",560,-163,-181,397,123,24%
2014,11446,3774,1291,-25,1001,27%,9%,450,492,"0,4",1205,-368,-953,837,548,55%
2015,12460,5265,1875,-31,1396,27%,11%,398,360,"0,2",961,-458,-544,503,332,24%
2016,13849,5245,2208,116,1865,36%,13%,1344,-800,0,1820,-446,-725,1374,620,33%
2017,15208,5558,2112,226,1882,34%,12%,1727,-1423,0,1826,-597,-778,1229,715,38%
2018,16007,6061,1722,134,1393,23%,9%,2584,5100,3,1129,-947,4225,182,533,38%
1T19,16063,6537,1851,-62,1168,18%,7%,2012,5523,3,876,-1090,4283,-214,91,8%
