Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,18,30,1,1,2,7%,11%,5,-3,0,5,-2,1,3,1,50%
1996,18,32,3,1,2,6%,11%,3,-2,0,4,-1,0,3,1,50%
1997,19,38,3,0,2,5%,11%,4,-1,0,5,-4,0,1,1,50%
1998,20,40,5,-1,3,8%,15%,3,-2,0,5,-2,1,3,1,33%
1999,23,45,7,-2,3,7%,13%,3,-2,0,5,-2,1,3,1,33%
2000,25,55,7,-1,4,7%,16%,3,-2,0,5,-2,2,3,1,25%
2001,28,66,11,-3,5,8%,18%,1,2,"0,2",9,-4,3,5,2,40%
2002,35,88,16,-2,9,10%,26%,4,8,"0,5",11,-2,5,9,3,33%
2003,41,125,18,-4,9,7%,22%,1,1,"0,1",12,-3,5,9,3,33%
2004,50,156,24,-4,14,9%,28%,1,1,0,17,-4,7,13,4,29%
2005,57,154,18,-3,9,6%,16%,6,2,"0,1",13,-4,6,9,3,33%
2006,64,157,22,-4,12,8%,19%,11,2,"0,1",27,-3,14,24,4,33%
2007,76,189,30,-3,17,9%,22%,24,-5,0,16,-7,6,9,5,29%
2008,129,243,53,-7,29,12%,22%,39,-7,0,21,-15,10,6,8,28%
2009,145,188,33,6,23,12%,16%,62,-27,0,32,-7,-6,25,7,30%
2010,157,199,32,3,20,10%,13%,95,-35,0,16,-4,19,12,8,40%
2011,166,210,27,5,18,9%,11%,104,-17,0,11,-6,6,5,8,44%
2012,178,225,31,5,22,10%,12%,83,-34,0,36,-6,-49,30,10,45%
2013,183,248,32,5,23,9%,13%,163,-32,0,30,-7,68,23,9,39%
2014,192,237,26,7,20,8%,10%,207,-22,0,24,-12,35,12,9,45%
2015,203,222,19,11,17,8%,8%,208,-24,0,37,-10,-23,27,5,29%
2016,211,218,11,15,13,6%,6%,109,79,0,17,-9,-111,8,5,35%
2017,220,240,16,8,13,5%,6%,63,26,0,19,-6,-58,12,5,36%
2018,231,271,25,5,16,6%,7%,60,21,0,17,-7,-14,10,6,34%
2019,242,289,28,7,18,6%,7%,89,38,0,28,-11,9,17,7,38%
