Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1996,9,33,0,0,0,0%,0%,0,6,0,1,-1,0,0,0,0%
1997,10,36,3,-1,1,3%,10%,0,4,1,3,-1,1,2,0,0%
1998,11,56,2,-1,1,2%,9%,0,6,3,7,-2,5,5,0,0%
1999,12,71,5,-4,1,1%,8%,0,8,2,4,-1,2,3,0,0%
2000,13,75,5,-2,2,3%,15%,1,14,3,0,-2,-2,-2,1,50%
2001,13,95,2,-3,3,3%,23%,0,20,10,4,-6,-2,-2,4,133%
2002,27,94,5,-3,2,2%,7%,0,22,4,31,-21,11,10,2,100%
2003,28,117,3,-1,1,1%,4%,1,18,6,10,-3,7,7,1,100%
2004,32,128,9,-2,5,4%,16%,0,24,"2,7",10,-4,6,6,1,20%
2005,73,140,3,-2,-2,0%,0%,2,43,"14,3",13,-4,8,9,0,0%
2006,99,184,14,-9,-5,0%,0%,0,60,"4,3",-1,-7,-8,-8,1,0%
2007,98,190,14,-2,0,0%,0%,2,66,"4,7",14,-4,3,10,0,0%
2008,98,269,18,-18,0,0%,0%,0,86,"4,8",-6,0,11,-6,1,0%
2009,113,268,27,-1,18,7%,16%,2,85,"3,1",6,-7,1,-1,4,22%
2010,112,238,12,-10,-4,0%,0%,4,114,"9,5",-20,-10,33,-30,0,0%
2011,94,265,0,-15,-17,0%,0%,1,122,0,4,-12,5,-8,0,0%
2012,100,323,36,-15,8,2%,8%,1,117,"3,3",10,-4,-6,6,0,0%
2013,108,330,39,-13,15,5%,14%,2,125,"3,2",-1,-6,8,-7,6,40%
2014,111,347,33,-22,6,2%,5%,7,163,"4,9",-25,-9,39,-34,4,67%
2015,110,386,64,-61,-1,0%,0%,2,177,"2,8",-3,-12,9,-15,0,0%
2016,148,387,64,-6,44,11%,30%,4,117,"1,8",74,-5,-67,69,4,10%
2017,161,332,42,-17,17,5%,11%,1,97,"2,3",24,-4,-24,20,4,24%
2018,175,365,43,-20,16,4%,9%,19,129,"2,5",-8,-3,29,-11,2,13%
2019,191,418,27,-7,21,5%,11%,11,109,"3,6",23,-7,-24,17,5,23%
