Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
2003,40,87,-5,-1,-3,0%,0%,1,1,0,18,-19,-10,-1,0,0%
2004,50,190,2,-5,-7,0%,0%,5,-2,0,49,-8,30,41,0,0%
2005,134,540,35,-6,17,3%,13%,5,28,1,131,-12,56,119,6,35%
2006,319,1029,46,-13,21,2%,7%,62,-53,0,240,-18,181,222,30,143%
2007,522,1531,76,26,66,4%,13%,38,-24,0,44,-29,-38,15,69,105%
2008,554,1937,195,-19,145,7%,26%,19,30,0,60,-75,-4,-15,43,30%
2009,639,2180,177,-94,128,6%,20%,8,62,0,100,-64,-47,36,50,39%
2010,686,2328,137,-25,89,4%,13%,90,315,"2,3",-154,-44,284,-198,23,26%
2011,619,2048,-23,-19,-68,0%,0%,153,252,0,180,-58,-59,122,0,0%
2012,640,2103,96,-31,30,1%,5%,110,367,"3,8",-45,-60,63,-105,8,27%
2013,645,2567,125,-59,16,1%,2%,165,389,"3,1",44,-29,40,15,4,25%
2014,661,2332,138,-64,23,1%,3%,224,295,"2,1",111,-23,-36,88,6,26%
2015,576,1843,5,-18,-80,0%,0%,555,294,"58,8",81,-70,310,11,0,0%
2016,559,1746,171,-112,9,"0,50%",2%,478,678,"1,2",69,-30,-105,39,0,0%
2017,506,1914,71,-83,-48,0%,0%,388,531,2,113,-43,-160,70,2,0%
2018,510,1951,108,-65,0,0%,0%,393,610,2,-65,-19,80,-83,0,0%
2019,535,1915,135,-71,21,1%,4%,461,712,"1,9",-4,-19,103,-23,0,0%
