Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,103,98,0,-8,-1,0%,0%,1,34,0,31,-17,14,14,0,0%
1996,103,136,0,-11,-3,0%,0%,1,53,0,17,-14,3,3,0,0%
1997,102,161,0,-11,2,1%,2%,3,47,0,29,-14,15,15,0,0%
1998,90,163,0,-10,-8,0%,0%,1,50,0,8,-14,-13,-6,0,0%
1999,89,206,0,-20,-6,0%,0%,3,62,0,24,-42,-20,-18,0,0%
2000,64,228,0,-36,-26,0%,0%,4,134,0,36,-70,-35,-34,0,0%
2001,67,309,0,-43,-11,0%,0%,4,138,0,46,-21,26,25,0,0%
2002,43,416,0,-85,-34,0%,0%,6,193,0,56,-48,8,8,0,0%
2003,43,444,0,-25,1,0%,2%,9,169,0,35,-13,9,22,0,0%
2004,47,428,0,-39,4,1%,9%,9,144,0,59,-35,-18,24,0,0%
2005,36,446,0,-34,-19,0%,0%,5,149,0,26,-14,-16,12,0,0%
2006,51,432,36,-39,-29,0%,0%,4,111,"3,1",56,-3,-53,53,0,0%
2007,24,395,12,-18,-39,0%,0%,2,104,"8,7",1,-4,4,-3,0,0%
2008,5,409,58,-40,-9,0%,0%,9,120,"2,1",-6,-37,43,-43,0,0%
2009,27,380,42,-10,19,5%,70%,9,110,"2,6",11,-12,-1,-1,6,32%
2010,61,511,85,-26,32,6%,52%,13,130,"1,5",-7,-13,24,-20,11,34%
2011,82,586,82,-29,24,4%,29%,10,110,"1,3",42,-18,-27,24,11,46%
2012,127,706,133,-22,66,9%,52%,59,75,"0,6",37,-31,43,6,9,14%
2013,192,834,156,-18,91,11%,47%,58,235,"1,5",-2,-100,101,-102,30,33%
2014,237,949,175,-21,93,10%,39%,92,355,2,71,-155,119,-84,44,47%
2015,232,1060,145,-58,53,5%,23%,188,510,"3,5",-45,-110,150,-155,13,25%
2016,238,1016,115,-82,2,"0,20%","0,90%",106,587,"4,2",139,-25,-96,114,8,381%
2017,285,1024,189,-68,64,6%,23%,94,514,"2,2",103,-27,-87,75,10,16%
2018,362,1054,288,-48,134,13%,37%,83,596,"1,8",5,-66,49,-60,30,22%
2019,368,1114,130,-75,13,1%,4%,275,796,4,171,-95,117,76,29,217%
