Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,79,152,2,-1,0,0%,0%,9,-9,0,13,-3,10,10,0,0%
1996,83,195,7,-1,2,1%,2%,2,2,"0,3",14,-18,-5,-4,1,50%
1997,83,220,7,-2,0,0%,0%,4,0,0,7,-6,-1,1,0,0%
1998,85,216,11,-1,2,1%,2%,12,-9,0,10,-6,1,4,1,50%
1999,85,243,11,0,3,1%,4%,11,-9,0,13,-6,3,7,2,67%
2000,85,261,13,-2,2,1%,2%,9,-8,0,11,-6,-2,5,1,50%
2001,87,275,17,-2,5,2%,6%,10,-6,0,18,-7,7,11,2,40%
2002,92,303,22,-4,8,3%,9%,16,-1,0,19,-6,10,13,3,38%
2003,97,345,23,-6,7,2%,7%,23,-11,0,16,-8,5,8,2,29%
2004,101,426,18,-1,8,2%,8%,20,-11,0,17,-8,6,9,3,38%
2005,107,539,24,-2,10,2%,9%,28,-10,0,19,-14,1,5,3,30%
2006,121,674,38,-2,21,3%,17%,47,-6,0,49,-15,26,34,6,29%
2007,368,833,34,8,22,3%,6%,285,-227,0,28,-33,242,-5,10,45%
2008,360,1260,66,22,51,4%,14%,125,-85,0,-24,-37,-77,-61,9,18%
2009,412,1720,119,8,75,4%,18%,142,-122,0,74,-50,-23,24,17,23%
2010,599,2008,145,7,89,4%,15%,196,-148,0,52,-102,101,-50,31,35%
2011,2201,2729,136,12,68,2%,3%,340,-178,0,29,-84,-13,-55,41,60%
2012,2265,5381,285,-2,105,2%,5%,167,25,"0,1",105,-260,-20,-155,34,32%
2013,2327,6207,325,-26,101,2%,4%,242,2,0,295,-238,17,57,29,29%
2014,2457,7351,530,-41,221,3%,9%,281,0,0,340,-275,-30,65,41,19%
2015,2657,8897,729,-65,340,4%,13%,266,30,0,502,-385,-129,117,121,36%
2016,2936,11257,980,-110,451,4%,15%,277,414,"0,1",556,-490,-56,65,153,34%
2017,3250,13213,1130,-106,513,4%,16%,265,611,"0,3",629,-640,-1,-11,171,33%
2018,3535,14801,1136,-83,509,3%,14%,242,843,"0,5",683,-703,-3,-20,174,34%
2019,4076,17566,2160,-334,789,4%,19%,299,1126,"0,4",749,-287,-689,462,187,24%
