Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
2002,186,457,147,-8,46,10%,25%,83,235,"1,6",316,-221,58,95,13,28%
2003,196,516,162,6,64,12%,33%,159,182,"1,1",384,-295,5,89,51,80%
2004,256,616,248,-5,102,17%,40%,194,293,"1,2",498,-504,-402,-6,44,43%
2005,334,854,364,-66,97,11%,29%,71,539,"1,5",1056,-718,292,338,34,35%
2006,375,1126,456,-64,118,10%,31%,162,439,1,949,-961,104,-12,232,197%
2007,480,1505,576,-76,157,10%,33%,190,765,"1,3",-72,-24,109,-96,51,32%
2008,537,1823,701,-133,136,7%,25%,129,1255,"1,8",-357,-40,331,-397,33,24%
2009,709,1821,498,-113,109,6%,15%,459,1078,"2,2",287,-21,63,266,31,28%
2010,899,2497,673,-130,256,10%,28%,415,1282,"1,9",-125,-51,132,-176,72,28%
2011,1120,2918,822,-179,292,10%,26%,711,1362,"1,7",54,-63,304,-9,77,26%
2012,1325,3167,876,-139,241,8%,18%,824,1231,"1,4",282,-80,-88,202,66,27%
2013,1341,3506,916,-111,384,11%,29%,1011,1332,"1,5",322,-41,-81,281,350,91%
2014,1656,3892,970,-151,411,11%,25%,1390,1322,"1,4",253,-88,320,165,106,26%
2015,1942,3928,934,-203,402,10%,21%,1385,1634,"1,7",-3,-153,59,-156,112,28%
2016,2197,4439,1016,-244,409,9%,19%,1692,3786,"2,1",-227,-127,661,-353,139,34%
2017,2601,6058,1240,-315,506,8%,19%,2614,6478,"3,1",-2443,-175,2597,-2618,167,33%
2018,3095,7896,1590,-369,659,8%,21%,2443,7646,"3,3",-67,-43,947,-110,172,26%
2019,5448,10196,2213,-410,834,8%,15%,2831,9379,3,-2896,-70,3135,-2966,276,33%
