Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,50,115,17,8,9,8%,18%,11,-10,0,22,-14,5,8,0,0%
1996,65,151,23,-6,16,11%,25%,16,-12,0,32,-15,7,17,0,0%
1997,73,170,24,-4,15,9%,21%,7,2,0,42,-26,5,16,0,0%
1998,81,216,31,-12,14,6%,17%,7,25,1,56,-13,20,43,0,0%
1999,79,236,36,-24,8,3%,10%,5,55,2,39,-17,-8,22,0,0%
2000,83,329,48,-21,13,4%,16%,11,61,1,53,-33,-3,20,0,0%
2001,88,380,56,-23,13,3%,15%,11,35,1,43,-9,8,34,8,62%
2002,91,363,52,-23,14,4%,15%,5,48,"0,9",58,-10,9,48,9,64%
2003,95,408,45,16,15,4%,16%,8,31,"0,7",37,-16,-9,21,10,67%
2004,104,438,52,17,18,4%,17%,45,8,"0,2",45,-5,12,40,9,50%
2005,133,477,63,3,40,8%,30%,20,-5,0,65,-8,35,57,11,28%
2006,231,551,63,-14,46,8%,20%,109,-84,0,13,-7,74,6,14,30%
2007,283,733,88,-11,70,10%,25%,120,-74,0,43,-24,8,19,19,27%
2008,342,1093,100,-2,72,7%,21%,38,25,"0,3",19,-37,-15,-18,20,28%
2009,374,1248,114,-21,51,4%,14%,39,134,"1,2",-28,-67,86,-95,21,41%
2010,424,1564,146,-33,61,4%,14%,66,175,"1,2",31,-43,32,-12,22,36%
2011,466,1888,175,-50,65,3%,14%,102,273,"1,6",8,-62,85,-54,25,38%
2012,516,1924,185,-38,77,4%,15%,87,288,"1,6",53,-64,-4,-11,26,34%
2013,516,2144,97,-39,13,1%,3%,23,422,"4,4",-23,-59,39,-82,25,192%
2014,473,1821,87,-62,6,0%,1%,275,526,6,30,-68,284,-38,24,400%
2015,525,1773,-59,-80,94,5%,18%,127,548,0,-37,-28,-100,-65,0,0%
2016,492,1738,33,-54,-50,0%,0%,125,343,"6,7",252,-29,-290,223,0,0%
2017,422,1725,15,-48,-52,0%,0%,69,318,"16,4",37,-53,-40,-17,5,0%
2018,121,1445,-167,-50,-302,0%,0%,95,173,0,277,-86,-165,191,0,0%
2019,-173,670,-420,230,-318,0%,0%,20,484,0,25,-10,-90,15,0,0%
