Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
2009,10,29,0,0,3,10%,30%,6,-2,0,1,0,2,1,0,0%
2010,9,37,0,-1,1,3%,11%,1,3,0,1,-1,-2,0,1,100%
2011,10,38,6,-1,3,8%,30%,2,3,"0,5",2,-1,-6,1,2,67%
2012,14,46,9,-1,6,13%,43%,14,-5,0,10,0,2,10,2,33%
2013,57,51,6,3,6,12%,11%,42,-37,0,12,-1,31,11,1,17%
2014,60,71,11,3,11,15%,18%,44,-40,0,10,0,-8,10,2,18%
2015,66,75,8,4,10,13%,15%,47,-33,0,11,-2,3,9,6,60%
2016,70,85,7,4,8,10%,12%,26,19,0,34,-5,2,29,0,0%
2017,76,135,11,-2,7,6%,10%,30,22,0,9,-3,2,7,0,0%
2018,85,142,8,-3,3,2%,3%,26,15,0,11,-13,-2,-3,0,0%
2019,432,175,13,-5,-5,0%,0%,365,84,0,1,-9,392,-9,1,0%
