Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
2004,891,5521,-354,292,-11,0%,0%,2508,-2015,0,231,-28,-227,203,0,0%
2005,784,5921,-74,316,-109,0%,0%,3162,-2414,0,609,-37,324,572,0,0%
2006,930,6152,155,401,154,3%,17%,2409,-1842,0,565,-161,-660,404,0,0%
2007,1960,6574,274,497,321,5%,16%,3441,-3172,0,-130,-29,439,-159,62,19%
2008,2517,6985,308,497,416,6%,17%,4019,-3756,0,1642,-26,-246,1616,104,25%
2009,2831,7769,12,564,413,5%,15%,5030,-4747,0,784,-65,-161,719,199,48%
2010,2891,7850,456,510,614,8%,21%,6328,-6007,0,890,-108,-267,782,292,48%
2011,3076,9030,46,658,446,5%,14%,7099,-6748,0,273,-12,-375,261,221,50%
2012,3345,10440,150,565,483,5%,14%,7810,-7295,0,1148,-31,36,1117,141,29%
2013,3618,11770,280,474,487,4%,13%,8533,-8014,0,69,-30,-187,39,148,30%
2014,3966,13500,250,668,563,4%,14%,9993,-8957,0,-605,-60,343,-665,165,29%
2015,4431,15064,353,821,738,5%,17%,11257,-10179,0,587,-86,-149,501,186,25%
2016,5041,16274,248,946,698,4%,14%,13168,1400,0,48,-41,159,7,152,22%
2017,5640,17762,491,817,776,4%,14%,14119,1585,0,-220,-57,0,-278,165,21%
2018,6288,19831,815,616,905,5%,14%,15601,1471,0,426,-73,-347,353,185,20%
2019,7148,21726,1060,615,1182,5%,17%,16970,1750,0,394,-106,-26,288,215,18%
