Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
2002,22,97,10,2,7,7%,32%,11,-11,0,8,-2,3,6,3,43%
2003,27,111,14,1,8,7%,30%,13,-13,0,11,-2,6,9,3,38%
2004,32,146,18,0,10,7%,31%,8,-8,0,13,-6,1,7,4,40%
2005,76,219,30,0,15,7%,20%,22,-21,0,95,-29,19,66,7,47%
2006,349,350,40,6,11,3%,3%,99,-98,0,334,-211,89,123,23,209%
2007,357,440,97,3,37,8%,10%,137,-136,0,76,-13,-22,63,30,81%
2008,454,679,139,-18,48,7%,11%,135,284,2,68,-24,346,44,36,75%
2009,542,988,249,-31,122,12%,23%,229,212,"0,9",186,-35,-20,151,72,59%
2010,632,1129,390,-50,138,12%,22%,238,179,"0,5",196,-85,-87,111,87,63%
2011,750,1278,308,-18,168,13%,22%,315,19,"0,1",264,-69,-141,195,99,59%
2012,913,1414,378,-9,207,15%,23%,423,-176,0,307,-36,-147,271,118,57%
2013,1070,1612,402,-3,223,14%,21%,546,-136,0,282,-67,57,215,156,70%
2014,1118,1772,436,13,263,15%,24%,698,-103,0,332,-39,-34,293,166,63%
2015,1238,1909,332,27,195,10%,16%,426,396,"1,2",313,-91,-78,222,127,65%
2016,1221,2184,344,-37,152,7%,12%,215,652,"1,3",261,-105,-373,155,141,93%
2017,1262,2227,294,-39,93,4%,7%,387,672,1,330,-51,-107,278,76,82%
2018,1288,2320,259,-40,61,3%,5%,453,479,"0,1",426,-91,-258,335,51,85%
2019,2478,2282,472,-1,211,9%,8%,1538,451,0,345,-60,777,285,50,24%
