Ano,Patrim. Liq.,Receita Liq.,EBITDA,Result. Fin.,Lucro Liq.,Mrg. Liq.,ROE,Caixa,Divida Liq.,Div.Liq./EBITDA,FCO,CAPEX,FCF,FCL CAPEX,Proventos,Payout
1995,10250,2285,501,-66,329,14%,3%,81,1727,"3,4",1473,-1516,-43,-43,214,65%
1996,10228,4714,588,-339,517,11%,5%,1094,4538,"7,7",1866,-1673,193,193,258,50%
1997,9472,5255,936,-536,756,14%,8%,1653,3368,"3,6",2889,-2726,162,163,8,1%
1998,9712,5015,1015,-695,1029,21%,11%,1735,539,"0,5",2899,-2975,-76,-76,732,71%
1999,10502,6979,2337,-1930,1251,18%,12%,2859,91,0,3542,-3056,487,486,814,65%
2000,10565,9534,2920,-753,2133,22%,20%,2642,-399,0,6106,-5792,314,314,480,23%
2001,11766,10573,5128,-1926,3050,29%,26%,2808,11766,"2,3",8875,-7954,920,921,2452,80%
2002,12750,14678,6857,-3475,2043,14%,16%,4270,10268,"1,5",10513,-8332,2181,2181,2125,104%
2003,19939,19442,8100,-254,4508,23%,23%,2128,11580,"1,4",9578,-12684,-3106,-3106,1944,43%
2004,18169,27544,12249,-2000,6459,23%,36%,3916,8169,"0,7",10028,-6014,-3498,4014,2086,32%
2005,24052,33992,16701,-1276,10442,31%,43%,2703,9759,"0,6",10468,-9245,-798,1223,3016,29%
2006,39099,45290,22092,-1745,13431,30%,34%,9777,39887,"1,8",13927,-10417,30642,3510,2769,21%
2007,57029,64763,31029,277,20007,31%,35%,2127,33678,"1,1",20346,-13652,-9220,6694,3338,17%
2008,101000,70540,31326,-3837,21712,31%,21%,24639,20726,"0,7",32706,-19042,14106,13664,6584,30%
2009,100295,48496,18812,2094,10244,21%,10%,13220,28869,"1,5",11516,-19530,2249,-8014,3473,34%
2010,116326,80677,45653,-2830,30422,38%,26%,12636,28282,"0,6",31409,-22217,-3848,9192,10331,34%
2011,145383,100556,58833,-6318,37420,37%,26%,6593,36479,"0,6",39687,-27324,-23600,12363,9529,25%
2012,152909,91269,23296,-8239,9391,10%,6%,11917,49939,"2,1",33084,-31962,2240,1122,9663,103%
2013,152122,101490,42390,-18443,-258,0%,0%,12465,56512,"1,3",32235,-29332,-9397,2903,9533,0%
2014,149602,82619,29958,-14765,220,0%,0%,10555,65962,"2,2",27791,-26886,-8634,905,9757,4435%
2015,139420,78057,-14741,-36053,-45997,0%,0%,14021,98645,0,15720,-27263,5250,-11543,5149,0%
2016,133702,94633,32826,6302,13296,14%,10%,13891,95563,"2,5",21137,-18218,-2861,2919,1829,14%
2017,148106,108532,46376,-9650,17670,16%,12%,14318,74392,"1,3",39972,-12462,-28031,27510,4667,26%
2018,173682,134483,55415,-18058,25774,19%,15%,22413,59928,"0,7",47931,-13979,-40530,33952,13051,51%
2019,157149,148640,16991,-13445,-8696,0%,0%,29627,59843,"1,8",47284,-14774,-14883,32510,695,0%
